The cones' start positions and orientations for the network growth
X,Y,Z,Az,Pol,CN
133.2781811535868,100.13641036983785,220.66666666666669,104.83511158197574,291.2461179749811,1.0
84.91014303006574,143.28686294009685,214.0,115.84193276316712,153.73835392494323,2.0
177.07398955302392,139.4501517300336,207.33333333333334,123.55730976192072,16.230589874905423,3.0
90.66637551532644,69.12658475238675,200.66666666666666,129.9445051898149,238.72282582486736,4.0
110.11047762345298,194.05056151203502,194.0,135.57299599919432,101.21506177482983,5.0
186.37494168047945,78.19328063214223,187.33333333333331,140.7035197608125,323.70729772479143,6.0
42.08714326639512,115.10209065966572,180.66666666666666,145.48189215893876,186.19953367475426,7.0
181.16716639167873,189.0531712274361,174.0,150.0,48.69176962471545,8.0
125.86224852243562,33.89586994669496,167.33333333333334,154.32071138054314,271.1840055746783,9.0
59.75148667468166,191.288067969306,160.66666666666669,158.4898117331125,133.6762415246403,10.0
219.18070092164635,117.6255061327108,154.0,162.54239687627793,356.1684774746031,11.0
48.06952576246381,63.25365329817431,147.33333333333334,166.5066011784483,218.66071342456425,12.0
139.16461890074964,221.42821231972414,140.66666666666666,170.40593177313954,81.15294937452711,13.0
179.12710443228303,41.1688322132776,134.0,174.26082952273322,303.6451853244883,14.0
26.966635055957084,147.94608478488857,127.33333333333333,178.08978682829007,166.1374212744511,15.0
211.7247313027097,171.8879985670343,120.66666666666666,178.08978682829007,208.62965722441228,16.0
91.80659564393022,29.85338712430176,113.99999999999999,174.26082952273322,71.12189317437513,17.0
84.50277282209011,214.34484638029332,107.33333333333331,170.40593177313954,293.614129124338,18.0
212.90613892882178,84.61403782659875,100.66666666666666,166.5066011784483,156.10636507430078,19.0
33.587913087146006,93.57542867906706,94.0,162.54239687627793,18.598601024261928,20.0
168.97531682831297,205.44185921102502,87.33333333333331,158.4898117331125,241.09083697422312,21.0
145.1659203756421,36.39734001256467,80.66666666666667,154.32071138054314,103.58307292418593,22.0
52.139649634625556,172.33311541133705,73.99999999999997,149.99999999999997,326.0753088741488,23.0
205.4752653062011,136.27477218416018,67.33333333333334,145.48189215893876,188.5675448241116,24.0
75.36098572599812,63.80751559087854,60.66666666666667,140.7035197608125,51.05978077407116,25.0
119.57555058368077,195.27709482970272,54.000000000000014,135.57299599919432,273.552016724034,26.0
170.2193102862882,79.43546725385717,47.33333333333333,129.9445051898149,136.04425267399685,27.0
68.74095193342791,125.41179401182784,40.66666666666667,123.55730976192072,358.53648862395966,28.0
156.88268703661288,152.61343903224798,34.0,115.84193276316712,221.02872457391916,29.0
121.11087201910014,98.55970725275475,27.333333333333343,104.83511158197577,83.52096052388195,30.0
